年份,学校代码,学校名称,城市,地区类别,学科门类,总分要求,单科满分100,单科满分150,拟招生人数,数据来源,学校层次,是否一线城市,学科热度
2018,10003,清华大学,北京,一线城市,哲学,331,51,81,56,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,经济学,398,60,90,141,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10003,清华大学,北京,一线城市,法学,350,55,76,10,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,教育学,373,52,82,7,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,文学,401,60,90,80,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10003,清华大学,北京,一线城市,历史学,365,54,82,46,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,理学,333,47,74,56,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,工学,305,44,69,146,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,农学,280,45,60,29,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,医学,338,48,72,70,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,军事学,276,43,61,10,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10003,清华大学,北京,一线城市,管理学,398,60,90,46,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10003,清华大学,北京,一线城市,艺术学,407,59,90,31,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10003,清华大学,北京,一线城市,交叉学科,328,48,78,33,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,哲学,344,50,76,42,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,经济学,412,58,90,97,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10001,北京大学,北京,一线城市,法学,383,55,88,52,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,教育学,383,59,83,15,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,文学,420,60,90,23,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10001,北京大学,北京,一线城市,历史学,358,56,77,43,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,理学,348,54,82,26,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,工学,297,43,67,60,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,农学,278,42,61,32,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,医学,353,52,80,18,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,军事学,290,41,71,23,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10001,北京大学,北京,一线城市,管理学,399,60,90,65,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10001,北京大学,北京,一线城市,艺术学,410,60,90,10,模拟数据(基于历史趋势),TOP5,一线城市,热门学科
2018,10001,北京大学,北京,一线城市,交叉学科,346,49,82,59,模拟数据(基于历史趋势),TOP5,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,哲学,344,52,79,37,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,经济学,384,56,90,91,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10002,中国人民大学,北京,一线城市,法学,351,53,84,68,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,教育学,366,53,84,58,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,文学,398,60,87,52,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10002,中国人民大学,北京,一线城市,历史学,331,50,77,46,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,理学,323,47,74,12,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,工学,275,41,68,91,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,农学,276,41,63,56,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,医学,322,51,72,7,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,军事学,306,44,69,76,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10002,中国人民大学,北京,一线城市,管理学,397,59,90,31,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10002,中国人民大学,北京,一线城市,艺术学,413,60,90,36,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10002,中国人民大学,北京,一线城市,交叉学科,336,53,79,6,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,哲学,341,48,83,63,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,经济学,414,60,90,152,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10006,北京航空航天大学,北京,一线城市,法学,373,58,88,56,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,教育学,380,57,83,78,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,文学,410,58,90,57,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10006,北京航空航天大学,北京,一线城市,历史学,360,57,85,26,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,理学,321,50,74,12,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,工学,305,48,75,99,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,农学,276,40,67,29,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,医学,326,49,75,79,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,军事学,288,41,71,19,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10006,北京航空航天大学,北京,一线城市,管理学,368,56,86,93,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10006,北京航空航天大学,北京,一线城市,艺术学,387,60,89,44,模拟数据(基于历史趋势),其他自划线高校,一线城市,热门学科
2018,10006,北京航空航天大学,北京,一线城市,交叉学科,349,49,78,33,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
2018,10007,北京理工大学,北京,一线城市,哲学,334,50,76,72,模拟数据(基于历史趋势),其他自划线高校,一线城市,一般学科
