年份,学校代码,学校名称,城市,地区类别,学科门类,总分要求,单科满分100,单科满分150,拟招生人数,数据来源
2018,10003,清华大学,北京,一线城市,哲学,331,51.65,81.13000000000001,56,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,经济学,398,60.0,90.0,141,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,法学,350,55.5,76.5,10,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,教育学,373,52.949999999999996,82.79,7,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,文学,401,60.0,90.0,80,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,历史学,365,54.75,82.95,46,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,理学,333,47.949999999999996,74.59,56,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,工学,305,44.75,69.15,146,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,农学,280,45.0,60.400000000000006,29,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,医学,338,48.699999999999996,72.74000000000001,70,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,军事学,276,43.4,61.480000000000004,10,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,管理学,398,60.0,90.0,46,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,艺术学,407,59.05,90.0,31,模拟数据(基于历史趋势)
2018,10003,清华大学,北京,一线城市,交叉学科,328,48.199999999999996,78.44,33,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,哲学,344,50.6,76.12,42,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,经济学,412,58.8,90.0,97,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,法学,383,55.449999999999996,88.09,52,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,教育学,383,59.449999999999996,83.09,15,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,文学,420,60.0,90.0,23,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,历史学,358,56.699999999999996,77.34,43,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,理学,348,54.199999999999996,82.04,26,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,工学,297,43.55,67.31,60,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,农学,278,42.699999999999996,61.940000000000005,32,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,医学,353,52.949999999999996,80.19,18,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,军事学,290,41.5,71.7,23,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,管理学,399,60.0,90.0,65,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,艺术学,410,60.0,90.0,10,模拟数据(基于历史趋势)
2018,10001,北京大学,北京,一线城市,交叉学科,346,49.9,82.58,59,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,哲学,344,52.6,79.12,37,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,经济学,384,56.599999999999994,90.0,91,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,法学,351,53.65,84.73,68,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,教育学,366,53.9,84.18,58,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,文学,398,60.0,87.54,52,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,历史学,331,50.65,77.13000000000001,46,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,理学,323,47.449999999999996,74.29,12,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,工学,275,41.25,68.25,91,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,农学,276,41.4,63.480000000000004,56,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,医学,322,51.3,72.06,7,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,军事学,306,44.9,69.38000000000001,76,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,管理学,397,59.55,90.0,31,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,艺术学,413,60.0,90.0,36,模拟数据(基于历史趋势)
2018,10002,中国人民大学,北京,一线城市,交叉学科,336,53.4,79.28,6,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,哲学,341,48.15,83.43,63,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,经济学,414,60.0,90.0,152,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,法学,373,58.949999999999996,88.79,56,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,教育学,380,57.0,83.4,78,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,文学,410,58.5,90.0,57,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,历史学,360,57.0,85.8,26,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,理学,321,50.15,74.83,12,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,工学,305,48.75,75.15,99,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,农学,276,40.0,67.48,29,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,医学,326,49.9,75.98,79,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,军事学,288,41.199999999999996,71.24000000000001,19,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,管理学,368,56.199999999999996,86.64,93,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,艺术学,387,60.0,89.01,44,模拟数据(基于历史趋势)
2018,10006,北京航空航天大学,北京,一线城市,交叉学科,349,49.35,78.27000000000001,33,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,哲学,334,50.1,76.82000000000001,72,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,经济学,420,60.0,90.0,95,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,法学,386,56.9,85.78,65,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,教育学,375,56.25,82.25,78,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,文学,408,60.0,90.0,10,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,历史学,341,51.15,77.43,64,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,理学,322,50.3,76.06,17,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,工学,304,47.6,74.92,53,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,农学,264,40.6,60.720000000000006,8,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,医学,354,55.1,80.42,45,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,军事学,286,41.9,68.78,78,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,管理学,390,60.0,90.0,193,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,艺术学,383,55.449999999999996,87.09,44,模拟数据(基于历史趋势)
2018,10007,北京理工大学,北京,一线城市,交叉学科,358,56.699999999999996,84.34,11,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,哲学,334,48.1,81.82000000000001,33,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,经济学,413,60.0,90.0,75,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,法学,348,55.199999999999996,78.04,54,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,教育学,372,52.8,83.56,23,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,文学,399,60.0,90.0,34,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,历史学,346,49.9,75.58,11,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,理学,339,48.85,73.97,39,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,工学,299,46.85,73.77,67,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,农学,276,43.4,68.48,49,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,医学,317,49.55,67.91,60,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,军事学,308,44.199999999999996,73.84,69,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,管理学,384,54.599999999999994,88.32000000000001,195,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,艺术学,397,57.55,86.31,33,模拟数据(基于历史趋势)
2018,10027,北京师范大学,北京,一线城市,交叉学科,339,53.85,79.97,42,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,哲学,336,47.4,78.28,23,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,经济学,398,57.699999999999996,89.54,61,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,法学,336,53.4,77.28,27,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,教育学,369,58.35,79.87,48,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,文学,415,60.0,90.0,68,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,历史学,368,55.199999999999996,84.64,55,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,理学,334,50.1,76.82000000000001,31,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,工学,297,46.55,72.31,66,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,农学,297,47.55,66.31,31,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,医学,338,51.699999999999996,82.74000000000001,52,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,军事学,304,45.6,65.92,72,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,管理学,393,55.949999999999996,90.0,113,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,艺术学,413,60.0,90.0,7,模拟数据(基于历史趋势)
2018,10019,中国农业大学,北京,一线城市,交叉学科,350,50.5,82.5,39,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,哲学,328,48.199999999999996,76.44,22,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,经济学,420,60.0,90.0,44,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,法学,365,52.75,82.95,17,模拟数据(基于历史趋势)
2018,10246,复旦大学,上海,一线城市,教育学,393,58.949999999999996,85.39,16,模拟数据(基于历史趋势)
